Date,Adj Close,Close,High,Low,Open,Volume
28/11/2022,15.81254101,15.82699966,16.35700035,15.72500038,16.02599907,303741000
29/11/2022,15.62471294,15.63899994,15.93200016,15.52000046,15.82699966,298384000
30/11/2022,16.91186333,16.92300034,16.93000031,15.59700012,15.69699955,565298000
01/12/2022,17.12372589,17.13500023,17.26499939,16.63500023,16.99900055,470977000
02/12/2022,16.86489487,16.87599945,16.93300056,16.44499969,16.6590004,371389000
05/12/2022,16.59907341,16.61000061,16.99500084,16.47200012,16.67900085,352255000
06/12/2022,15.97648144,15.98700047,16.57299995,15.81900024,16.53000069,352694000
07/12/2022,16.10939598,16.12000084,16.18600082,15.66699982,15.77200031,372388000
08/12/2022,17.15770531,17.16900063,17.17900085,15.95899963,16.27300072,515456000
09/12/2022,16.98981285,17.00099945,17.58300018,16.97500038,17.15999985,465338000
12/12/2022,17.5234623,17.53499985,17.53800011,16.79700089,17.03700066,457328000
13/12/2022,18.06011009,18.0720005,18.79000092,17.71100044,18.53100014,656589000
14/12/2022,17.66236877,17.67399979,18.25200081,17.42000008,17.98699951,496888000
15/12/2022,16.94084549,16.95199966,17.31999969,16.70000076,17.14599991,478542000
16/12/2022,16.56009865,16.57099915,17.04100037,16.40999985,16.86400032,478232000
19/12/2022,16.2433033,16.25399971,16.60899925,16.14500046,16.5720005,354039000
20/12/2022,16.07441711,16.08499908,16.30999947,15.85200024,16.06399918,403260000
21/12/2022,16.49014282,16.50099945,16.62700081,16.10199928,16.11400032,325025000
22/12/2022,15.32890797,15.33899975,16.13800049,14.88199997,16.09399986,565045000
23/12/2022,15.19599533,15.20600033,15.33899975,14.88300037,15.1960001,349326000
27/12/2022,14.11170959,14.12100029,15.10000038,14.05599976,15.07400036,464902000
28/12/2022,14.02676582,14.03600025,14.26200008,13.88399982,13.92700005,351066000
29/12/2022,14.59339142,14.60299969,14.68299961,14.22700024,14.40200043,354923000
30/12/2022,14.60438442,14.61400032,14.62899971,14.2329998,14.33399963,310490000
03/01/2023,14.30558014,14.31499958,14.99600029,14.09599972,14.85099983,401277000
04/01/2023,14.73929596,14.7489996,14.85299969,14.24100018,14.56700039,431324000
05/01/2023,14.25561523,14.26500034,14.56400013,14.14799976,14.49100018,389168000
06/01/2023,14.84922218,14.85900021,15.01000023,14.0340004,14.47399998,405044000
09/01/2023,15.61771679,15.62800026,16.05599976,15.14099979,15.2840004,504231000
10/01/2023,15.89853191,15.9090004,15.96199989,15.47200012,15.50699997,384101000
11/01/2023,15.99047089,16.00099945,16.02799988,15.56299973,15.84000015,353285000
12/01/2023,16.50013542,16.51099968,16.63699913,15.49199963,16.10000038,551409000
13/01/2023,16.88787842,16.89900017,16.92200089,16.16500092,16.27799988,447287000
17/01/2023,17.69035339,17.70199966,17.72800064,16.89900017,16.89900017,511102000
18/01/2023,17.36556816,17.37700081,17.87299919,17.28199959,17.66699982,439624000
19/01/2023,16.75396919,16.76499939,17.1970005,16.7310009,17.0359993,452932000
20/01/2023,17.82726288,17.8390007,17.8560009,16.82500076,17.01099968,564967000
23/01/2023,19.18037224,19.19300079,19.24500084,17.81800079,18.06399918,655163000
24/01/2023,19.25232315,19.26499939,19.49500084,18.81999969,18.82699966,496204000
25/01/2023,19.31028748,19.32299995,19.37000084,18.57999992,18.91300011,449537000
26/01/2023,19.78897095,19.80200005,20.16600037,19.27799988,19.70100021,489535000
27/01/2023,20.35160065,20.36499977,20.62800026,19.40500069,19.46199989,542142000
30/01/2023,19.14939308,19.16200066,20.13999939,19.14999962,19.95000076,488611000
31/01/2023,19.52414703,19.53700066,19.68700027,18.95000076,19.17000008,498017000
01/02/2023,20.92921829,20.94300079,21.19199944,19.61100006,19.69099998,660477000
02/02/2023,21.6947155,21.70899963,21.9489994,20.70000076,21,564276000
03/02/2023,21.08611679,21.10000038,21.74500084,20.78899956,21,429366000
06/02/2023,21.07512283,21.0890007,21.56999969,20.7859993,20.80599976,452197000
07/02/2023,22.15840912,22.17300034,22.25900078,21.14999962,21.38199997,664150000
08/02/2023,22.19038963,22.20499992,22.87800026,22.00799942,22.38699913,559651000
09/02/2023,22.32230377,22.33699989,23.02000046,22.12000084,22.6060009,523876000
10/02/2023,21.25100708,21.26499939,22.07799911,20.81100082,21.69000053,550737000
13/02/2023,21.77366257,21.78800011,22.04800034,20.96199989,21.53800011,474919000
14/02/2023,22.95588493,22.97100067,23.04899979,21.36599922,21.57799911,675474000
15/02/2023,22.74901962,22.76399994,22.85499954,22.1060009,22.54899979,420575000
16/02/2023,21.98752403,22.00200081,22.54999924,21.92700005,22.13299942,412026000
17/02/2023,21.37392807,21.38800049,21.73999977,20.97500038,21.63100052,465888000
21/02/2023,20.64140892,20.65500069,21.49399948,20.61800003,21,410015000
22/02/2023,20.74034309,20.75399971,21.10400009,20.42099953,20.70700073,513184000
23/02/2023,23.64842796,23.66399956,23.88800049,23.02499962,23.44000053,1117995000
24/02/2023,23.27067566,23.2859993,23.47400093,22.9470005,23.22500038,589716000
27/02/2023,23.48553467,23.50099945,23.87999916,23.45400047,23.67000008,452994000
28/02/2023,23.20072365,23.2159996,23.82500076,23.20599937,23.37199974,455963000
01/03/2023,22.68306541,22.69799995,23.25600052,22.50799942,23.19199944,460026000
02/03/2023,23.29866028,23.31399918,23.37999916,22.43199921,22.48800087,389415000
03/03/2023,23.87427902,23.88999939,23.89999962,23.12999916,23.31999969,412393000
06/03/2023,23.53850365,23.55400085,24.24799919,23.48699951,23.89100075,437429000
07/03/2023,23.27662849,23.28800011,24.125,23.24099922,23.60000038,515154000
08/03/2023,24.16919327,24.18099976,24.20000076,23.42399979,23.48699951,513573000
09/03/2023,23.42455864,23.43600082,24.45400047,23.38299942,24.17499924,501257000
10/03/2023,22.95378685,22.96500015,23.62700081,22.72599983,23.4090004,474866000
13/03/2023,22.9547863,22.9659996,23.29800034,22.29700089,22.75200081,421890000
14/03/2023,24.05125046,24.06299973,24.21899986,23.45999908,23.49600029,474910000
15/03/2023,24.21617317,24.22800064,24.2859993,23.36000061,23.76099968,524486000
16/03/2023,25.52853012,25.54100037,25.58799934,23.8939991,24.02700043,583253000
17/03/2023,25.71244049,25.72500038,26.39900017,25.66799927,25.98200035,848547000
20/03/2023,25.8873558,25.89999962,26.02400017,25.12999916,25.61499977,432747000
